Row Type,Action,Campaign Type,Campaign,Campaign ID,Negative keyword,Match Type,Customer ID
Negative keyword,Add,Campaign,IP 7194 USA,,wayfair.com,Exact match,
Negative keyword,Remove,Campaign,IP 7194 USA,,wayfair promo code,Exact match,
Negative keyword,Add,Campaign,IP 7194 USA,,amazon coupins,Exact match,
Negative keyword,Remove,Campaign,IP 7194 USA,,amazon deals,Exact match,
Negative keyword,Add,Campaign,IP 7194 USA,,ceramic planters,Exact match,
Negative keyword,Add,Campaign,IP 7194 USA,,accent pillows,Exact match,
Negative keyword,Add,Campaign,IP 7194 USA,,wayfair.ca,Exact match,
Negative keyword,Add,Campaign,IP 7194 USA,,amazon.ca,Exact match,
Negative keyword,Add,Campaign,IP 7194 USA,,eiffel tower vases,Exact match,
Negative keyword,Add,Campaign,IP 7194 USA,,amazon ceiling fans,Exact match,
Negative keyword,Add,Campaign,IP 7194 USA,,amazon.com,Exact match,
Negative keyword,Add,Campaign,IP 7194 USA,,decorative mirrors,Exact match,
Negative keyword,Add,Campaign,IP 7194 USA,,amazon mirror,Exact match,
Negative keyword,Add,Campaign,IP 7194 USA,,wayfair deals,Exact match,
Negative keyword,Add,Campaign,IP 7194 USA,,amazon throw pillows,Exact match,
Negative keyword,Add,Campaign,IP 7194 USA,,wayfair throw pillows,Exact match,
Negative keyword,Add,Campaign,IP 7194 USA,,wayfair ceiling fans,Exact match,
Negative keyword,Add,Campaign,IP 7194 USA,,apothecary jars,Exact match,
Negative keyword,Add,Campaign,IP 7194 USA,,amazon,Exact match,
Negative keyword,Add,Campaign,IP 7194 USA,,amazon promo code,Exact match,
Negative keyword,Add,Campaign,IP 7194 USA,,wayfair,Exact match,
Negative keyword,Add,Campaign,IP 7194 USA,,wayfair coupons,Exact match,
Negative keyword,Add,Campaign,IP 7194 USA,,bird baths,Exact match,
Negative keyword,Add,Campaign,IP 7194 USA,,wayfair mirror,Exact match,
Negative keyword,Add,Campaign,IP 7194 USA,,fall sweaters,Exact match,
Negative keyword,Add,Campaign,IP 7194 USA,,christmas trees,Exact match,
Negative keyword,Add,Campaign,IP 7194 USA,,thunder storms,Exact match,
Negative keyword,Add,Campaign,IP 7194 USA,,fall leaves,Exact match,
Negative keyword,Add,Campaign,IP 7194 USA,,winter dragons,Exact match,
